,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,190,119,111,142,123,80,105,207,0.3785400390625,0.6427001953125,0.20794677734375,-0.63275146484375,-0.96826171875,0.10595703125,-0.0302734375,-65.0,10.25,14.5
0,191,133,110,192,142,77,102,193,0.38482666015625,0.64007568359375,0.21527099609375,-0.629150390625,-0.95361328125,0.021484375,0.02978515625,-59.3125,8.1875,13.9375
0,175,133,114,208,144,69,93,177,0.38665771484375,0.6419677734375,0.2213134765625,-0.62396240234375,-0.97509765625,0.1337890625,-0.03515625,-1.75,13.0625,8.5625
0,175,159,166,370,209,87,95,208,0.38812255859375,0.643798828125,0.2225341796875,-0.6207275390625,-1.01611328125,0.2314453125,-0.0283203125,-11.5625,12.375,10.5625
0,174,155,182,385,217,98,145,203,0.3914794921875,0.64324951171875,0.225830078125,-0.61798095703125,-0.9609375,0.18701171875,0.00927734375,-29.5625,7.0,7.75
0,180,178,189,389,212,94,133,193,0.3922119140625,0.6434326171875,0.2286376953125,-0.61627197265625,-1.005859375,0.10400390625,0.01806640625,-14.75,8.625,4.625
0,163,165,201,445,229,103,132,190,0.39263916015625,0.6458740234375,0.22711181640625,-0.61407470703125,-0.9853515625,0.2197265625,0.01318359375,5.75,9.3125,16.0625
0,160,172,259,460,234,108,137,195,0.3951416015625,0.646484375,0.22869873046875,-0.61126708984375,-0.88818359375,0.17431640625,0.01708984375,-17.75,10.375,12.4375
0,173,171,242,395,208,117,143,190,0.39630126953125,0.6473388671875,0.23150634765625,-0.60845947265625,-0.892578125,0.142578125,0.0283203125,-15.9375,16.75,6.125
0,179,181,251,463,234,120,111,172,0.3963623046875,0.64892578125,0.23382568359375,-0.6058349609375,-0.97314453125,0.162109375,0.03369140625,-8.125,19.3125,4.125
0,166,181,268,479,231,122,112,162,0.3963623046875,0.65020751953125,0.2357177734375,-0.60382080078125,-0.99560546875,0.19482421875,0.0517578125,-6.125,16.8125,2.125
0,162,180,255,400,198,112,109,162,0.3956298828125,0.65228271484375,0.23626708984375,-0.601806640625,-1.03515625,0.19580078125,0.03369140625,2.8125,16.375,6.3125
0,157,176,204,391,200,114,104,162,0.39495849609375,0.6556396484375,0.23492431640625,-0.59906005859375,-1.0126953125,0.248046875,-0.0244140625,10.0,16.1875,13.25
0,141,156,243,417,187,92,96,129,0.3953857421875,0.65789794921875,0.23529052734375,-0.59613037109375,-0.97900390625,0.205078125,-0.01708984375,-2.3125,16.0,12.25
0,146,156,241,385,145,79,69,97,0.39508056640625,0.66021728515625,0.23583984375,-0.59356689453125,-0.9833984375,0.2314453125,-0.0068359375,0.5625,17.5,6.625
0,150,147,222,412,154,77,56,100,0.39447021484375,0.6629638671875,0.235595703125,-0.59100341796875,-0.99951171875,0.26025390625,0.00244140625,5.8125,18.875,7.875
0,199,223,230,488,194,104,234,154,0.39556884765625,0.66461181640625,0.2352294921875,-0.58856201171875,-0.99755859375,0.29931640625,0.02197265625,-2.25,13.5625,9.75
0,230,223,220,493,188,106,243,152,0.39971923828125,0.66326904296875,0.23797607421875,-0.586181640625,-0.99609375,0.30078125,0.025390625,-31.0625,6.5,4.3125
0,249,235,201,567,249,122,268,196,0.40350341796875,0.66162109375,0.2403564453125,-0.58447265625,-0.9248046875,0.1748046875,0.0732421875,-27.25,5.875,9.8125
0,232,220,207,575,272,138,283,216,0.40423583984375,0.66156005859375,0.24127197265625,-0.58367919921875,-0.86767578125,0.1240234375,0.03515625,-6.625,5.625,7.4375
0,228,215,204,546,272,153,290,217,0.40216064453125,0.66253662109375,0.24163818359375,-0.5838623046875,-0.89404296875,0.17626953125,-0.00341796875,9.0,5.875,-3.5
0,186,153,291,518,256,136,186,184,0.40008544921875,0.66473388671875,0.2415771484375,-0.582763671875,-0.8955078125,0.22607421875,-0.04150390625,10.75,11.5,-0.8125
0,147,150,322,552,261,130,176,184,0.399658203125,0.6661376953125,0.2427978515625,-0.58099365234375,-0.900390625,0.25146484375,-0.0078125,-1.875,14.4375,-1.5
0,108,132,306,428,190,117,138,136,0.39898681640625,0.66741943359375,0.243896484375,-0.57952880859375,-0.892578125,0.23876953125,-0.01025390625,0.0,13.4375,-1.75
0,111,159,300,369,175,116,109,105,0.39739990234375,0.6697998046875,0.24407958984375,-0.5777587890625,-0.927734375,0.24755859375,-0.021484375,8.375,16.6875,0.75
0,106,156,321,388,181,97,93,92,0.395263671875,0.67242431640625,0.2449951171875,-0.5758056640625,-0.99365234375,0.2666015625,-0.04150390625,8.125,20.0625,-3.375
0,103,143,242,368,178,100,79,86,0.3939208984375,0.6748046875,0.24603271484375,-0.573486328125,-1.03564453125,0.2958984375,-0.0849609375,2.875,17.5,-1.6875
0,116,220,220,307,175,109,75,82,0.39453125,0.67559814453125,0.24847412109375,-0.57110595703125,-1.03857421875,0.2509765625,-0.06005859375,-12.375,15.1875,0.1875
0,113,234,223,326,209,117,71,75,0.39617919921875,0.67510986328125,0.25140380859375,-0.5692138671875,-1.02880859375,0.181640625,0.00390625,-19.0625,13.125,3.1875
0,106,227,267,404,204,109,64,67,0.395751953125,0.67633056640625,0.2529296875,-0.5673828125,-0.9853515625,0.1650390625,-0.06396484375,-3.75,13.8125,4.4375
0,115,266,352,535,264,129,67,67,0.39544677734375,0.6783447265625,0.2532958984375,-0.5650634765625,-0.986328125,0.2509765625,-0.07177734375,0.5,15.0625,6.0625
0,116,268,359,522,295,159,74,70,0.396728515625,0.6805419921875,0.25390625,-0.56121826171875,-1.015625,0.3486328125,-0.1123046875,-8.25,17.75,8.25
0,102,217,367,559,347,176,74,68,0.40087890625,0.68115234375,0.25518798828125,-0.55694580078125,-1.0419921875,0.3427734375,-0.1162109375,-25.875,12.1875,14.75
0,104,202,360,555,342,183,78,66,0.40692138671875,0.6793212890625,0.25946044921875,-0.55279541015625,-1.02587890625,0.2294921875,-0.1005859375,-48.4375,8.5625,13.3125
0,104,193,337,597,416,191,79,59,0.41229248046875,0.6761474609375,0.2652587890625,-0.5499267578125,-0.970703125,0.052734375,-0.0771484375,-52.0625,5.5,10.625
0,87,161,318,559,466,237,85,62,0.41387939453125,0.67498779296875,0.26812744140625,-0.54876708984375,-0.9384765625,0.1083984375,-0.10400390625,-21.125,1.625,5.0
0,104,182,326,636,477,257,82,73,0.41357421875,0.67535400390625,0.2684326171875,-0.54840087890625,-1.01318359375,0.24853515625,-0.13623046875,-1.125,-1.5625,1.375
0,106,170,311,617,445,255,78,72,0.415771484375,0.672607421875,0.27227783203125,-0.5482177734375,-0.99267578125,0.11328125,-0.07177734375,-28.4375,-3.0625,-1.5
0,111,162,316,604,451,254,76,72,0.41497802734375,0.67352294921875,0.2674560546875,-0.55010986328125,-1.0107421875,0.24658203125,-0.0146484375,23.6875,-12.1875,15.25
0,113,159,299,524,389,256,74,72,0.41357421875,0.67730712890625,0.26153564453125,-0.54937744140625,-0.75341796875,0.43896484375,-0.16064453125,30.8125,-5.0,10.5625
0,113,125,190,481,278,204,65,65,0.41748046875,0.676025390625,0.26318359375,-0.547119140625,-0.86669921875,0.43603515625,-0.09375,-27.0625,-0.5625,-3.1875
0,104,86,201,459,297,173,62,56,0.42352294921875,0.67254638671875,0.26568603515625,-0.5455322265625,-0.92041015625,0.28662109375,0.0400390625,-40.1875,-2.0625,6.375
